"X","file","mfcc_1_mean","mfcc_1_std","mfcc_2_mean","mfcc_2_std","mfcc_3_mean","mfcc_3_std","mfcc_4_mean","mfcc_4_std","mfcc_5_mean","mfcc_5_std","mfcc_6_mean","mfcc_6_std","mfcc_7_mean","mfcc_7_std","mfcc_8_mean","mfcc_8_std","mfcc_9_mean","mfcc_9_std","mfcc_10_mean","mfcc_10_std","mfcc_11_mean","mfcc_11_std","mfcc_12_mean","mfcc_12_std","mfcc_13_mean","mfcc_13_std","spectral_centroid_mean","spectral_centroid_std","spectral_brightness","spectral_contrast_1_mean","spectral_contrast_1_std","spectral_contrast_2_mean","spectral_contrast_2_std","spectral_contrast_3_mean","spectral_contrast_3_std","spectral_contrast_4_mean","spectral_contrast_4_std","spectral_contrast_5_mean","spectral_contrast_5_std","spectral_contrast_6_mean","spectral_contrast_6_std","spectral_contrast_7_mean","spectral_contrast_7_std","spectral_flatness_mean","spectral_flatness_std","f0_mean","f0_std","F1_mean","F2_mean","F3_mean","F1_bandwidth","F2_bandwidth","F3_bandwidth","vibrato_rate","vibrato_amplitude","jitter_local","hnr_mean","RAHVUS","tyyp","rahvas","viide","kloonitud"
1,"ERA, Pl. 46 A1_clip0.wav",-277.609252929688,43.8707275390625,137.368530273438,18.6734142303467,-81.3221282958984,24.7404956817627,8.60696506500244,11.452018737793,-14.6061668395996,11.2766466140747,-31.6456680297852,9.28698539733887,-5.96892786026001,10.4481363296509,-29.2041854858398,8.10426807403564,-7.49323844909668,7.59528398513794,-3.89476799964905,7.52966213226318,-16.4152240753174,6.62588596343994,-2.50900936126709,6.01330280303955,-11.3697786331177,6.79908132553101,1256.7782470799,229.561397537391,0.306295931339264,13.6435452434693,4.16307252535912,25.1528317784337,4.82515245579343,25.8967754000168,5.40211963819496,21.7283117203715,5.76776037451453,21.4719792875219,5.52404110461749,26.0972411433634,3.43670433439613,55.1415329123962,4.76415708249443,5.69185722270049e-05,0.00039816866046749,329.765845118455,56.2532810504717,672.07089607904,1581.02690975429,2343.29990187411,230.25090203573,736.566033388909,630.370171970453,4.38034188034188,117.849561455889,0.00925539030973231,19.5633220053385,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
2,"ERA, Pl. 46 A1_clip1.wav",-313.196624755859,32.3065605163574,139.409118652344,18.5625133514404,-82.3954849243164,16.9971733093262,12.8080053329468,14.8107805252075,-15.1294498443604,11.7619953155518,-26.4979114532471,7.14043569564819,-1.32083010673523,9.39300727844238,-25.2570743560791,6.65964651107788,-4.36870431900024,7.03309631347656,-2.66012859344482,6.25662469863892,-11.4560413360596,6.75556898117065,0.28905314207077,5.85547637939453,-10.8551301956177,7.14249849319458,1301.33604223148,323.390960735283,0.310290992259979,13.0341761919418,3.50919124392486,24.8124003325426,5.32353877207669,26.2906219536421,6.55593087719016,22.406765339673,6.19267552262177,20.0522260330443,5.00210698047594,23.7104884499777,1.77453822486223,55.9170920980685,4.8854444359734,0.00011340240598656,0.00074925937224179,311.013464175551,60.5926924857898,680.214285543625,1602.31203582986,2358.00284344963,199.38319604048,616.155441402576,729.612591467009,4.38695163104612,107.71285668707,0.0083003455593229,20.8291089626423,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
3,"ERA, Pl. 46 A1_clip10.wav",-285.386932373047,52.2182960510254,140.225006103516,20.951286315918,-80.2994766235352,33.2776679992676,1.00076723098755,20.4790954589844,-7.22912073135376,12.4400949478149,-31.3414611816406,11.5739164352417,-7.3821291923523,11.5807027816772,-20.3528633117676,8.07741260528564,-10.3373556137085,9.87191009521484,-3.45546269416809,8.30043792724609,-10.6713562011719,9.5869083404541,0.577385008335114,7.37744998931885,-7.38839435577393,8.10097694396973,1248.1515588424,219.464529204127,0.293616712093353,13.3080534562529,4.16443206541961,25.1121575362006,4.60303943432967,27.403821783119,6.67886143658427,24.233644149992,5.7918787233839,23.7649579348141,5.12863541565303,24.9763122455374,3.75996213443027,55.0674061084275,4.84406332594847,3.39635080308653e-05,0.00014748537796549,317.380645937785,45.1942999776978,670.429301261015,1567.89725585775,2316.74253537384,175.876480637076,541.678096268637,683.144464104325,5.77777777777778,71.8678869575832,0.00694230038397567,21.3259113466331,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
4,"ERA, Pl. 46 A1_clip11.wav",-284.267395019531,58.8723678588867,140.02229309082,23.2774925231934,-79.7254028320312,35.4057579040527,3.19662356376648,20.52783203125,-7.78256225585938,13.6049585342407,-32.1569023132324,12.9527902603149,-10.4140300750732,10.5139513015747,-21.2650737762451,9.2249641418457,-10.7470064163208,9.49257564544678,-3.39411067962646,9.2274580001831,-10.3551063537598,9.36767387390137,-0.703543603420258,7.69259834289551,-7.29082536697388,7.10716819763184,1259.79423776706,218.448415670919,0.308442443609238,12.8671034223652,4.04686040283322,25.0841757991581,5.10977480105636,26.9642975842481,5.93369182373629,24.5887520874057,5.53573365321064,24.2040871259811,5.10561755924165,25.2593865126776,4.52140249798878,55.2233748582416,5.07027251835884,5.89215160289314e-05,0.00057055481011047,324.454084634709,49.1409004830332,658.291955133899,1576.24694893714,2353.14345079404,188.909248650824,488.074127131061,681.942522867869,5.13966480446927,111.349178255193,0.00786672062833037,20.2322554826886,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
5,"ERA, Pl. 46 A1_clip12.wav",-290.382781982422,54.831485748291,141.170196533203,21.7611465454102,-76.8680191040039,34.126350402832,-0.548523962497711,21.4556140899658,-6.41123819351196,12.9273767471313,-32.9683723449707,11.3564033508301,-11.0609521865845,11.0099115371704,-21.077543258667,8.10939788818359,-8.82160568237305,9.07689571380615,-2.6168270111084,8.1072883605957,-10.3667526245117,7.00915193557739,0.277620077133179,7.15281391143799,-7.43786573410034,7.75224018096924,1218.43325378063,167.598250794009,0.288092583417892,12.8712594405754,3.98088597522393,25.3521178493243,4.93792648641471,27.294350983501,6.05077180646721,24.457502344038,5.37115808222991,24.2783559290771,5.2879410521955,24.4104882226168,3.64303499050651,54.9071260809174,4.86562048576226,4.56272173323669e-05,0.00050702894804999,314.91995294231,44.048417622306,669.744222524829,1600.46187420923,2320.55580953712,163.573835874288,519.635359205114,752.926385606322,5.55555555555556,84.1153286987697,0.00745747011646712,21.2835427378823,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
6,"ERA, Pl. 46 A1_clip13.wav",-296.142333984375,57.3875885009766,137.228302001953,21.0929985046387,-79.1713256835938,34.1240997314453,6.08199882507324,18.9334621429443,-2.8719334602356,12.3813390731812,-32.8316993713379,12.169924736023,-12.813024520874,10.3252286911011,-20.9866371154785,8.73477077484131,-7.39139080047607,8.45586109161377,-2.73775053024292,8.48694229125977,-10.2679071426392,7.00850772857666,2.27860236167908,6.70944213867188,-6.12533855438232,7.05232095718384,1265.24322238691,194.548888951667,0.320796698331833,12.7623768495187,3.90218103728665,25.5074253683754,4.75995490866199,28.0574008837147,5.90772611722738,24.2272822209435,5.40861154504733,25.0921029896414,5.23241188225976,24.7666537845355,3.78301566293515,55.0865863960761,5.00039591047841,4.10886023018975e-05,0.00033298874041065,320.130270105154,37.3276942373564,641.944728947234,1635.55930927313,2282.68774918313,167.774281226228,564.631940128049,632.024588355731,4.03587443946188,133.723801960696,0.00663592582525789,21.7195040269372,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
7,"ERA, Pl. 46 A1_clip14.wav",-314.63818359375,52.9276809692383,142.374069213867,24.6108341217041,-75.2714080810547,28.2196407318115,4.90811824798584,26.0350742340088,-4.36283016204834,15.2590007781982,-29.6989765167236,11.3570566177368,-7.54095888137817,10.8728008270264,-19.6785049438477,8.83707141876221,-9.82293224334717,8.76593112945557,-4.76891946792603,9.67405796051025,-10.4555950164795,8.19880676269531,1.95804917812347,6.65893077850342,-8.21885967254639,7.42119121551514,1261.67079351841,212.957899966604,0.292334616184235,13.060871604052,3.75199804086177,24.9158265657388,4.83872178267853,26.3618685795358,6.18611822134918,23.8043415867834,5.82483831705235,23.4567822469597,5.15968479104334,23.7722539357226,3.33798224344885,55.8316949435911,5.14536311903262,9.1264613729436e-05,0.00101050490047782,321.009612631118,56.109818758898,643.986836746925,1584.27386909542,2378.51061072216,194.801825882714,535.007855052399,679.578933681157,4.12946428571429,126.031116638163,0.00775235858543674,20.1866802811988,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
8,"ERA, Pl. 46 A1_clip15.wav",-295.160247802734,49.4986305236816,133.756164550781,21.1574668884277,-82.8814086914062,30.3035564422607,7.17969751358032,21.6333885192871,-2.41474556922913,13.0529737472534,-30.928108215332,11.9880123138428,-10.4853563308716,11.9564971923828,-24.2071132659912,7.49981355667114,-7.5299391746521,8.40979766845703,-2.09441423416138,8.09297370910645,-11.3878917694092,9.10238647460938,2.35791897773743,7.92068576812744,-6.7994236946106,7.83177995681763,1320.45907920461,205.85480551911,0.34216520190239,12.6868243657104,4.00785877314652,25.030194276953,4.34436188855463,28.070571949775,5.9444577379717,23.9667114352064,5.80626015720614,24.9717679071777,5.66660527842404,25.3480024940825,3.61639131870613,55.1063208934928,4.57057172665693,3.35570475726854e-05,0.00016453140415251,315.7269826785,49.5012044204147,649.220572379249,1670.87412484449,2294.46901056514,172.992897012584,527.396011461885,768.561484942807,4.19426048565121,112.720536176733,0.00718097892455256,21.4215405524515,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
9,"ERA, Pl. 46 A1_clip16.wav",-283.808380126953,47.2398529052734,136.924179077148,21.8433971405029,-84.1826934814453,30.4499263763428,1.26871979236603,22.1612205505371,-4.6769700050354,13.1766719818115,-31.318338394165,11.9432048797607,-9.43405151367188,11.6540784835815,-22.9738483428955,8.87685966491699,-10.5915851593018,8.6051549911499,-3.2392692565918,8.63932514190674,-10.4952735900879,8.93863868713379,1.42938911914825,7.48073387145996,-7.3808388710022,8.7034740447998,1309.54226499328,191.132252601614,0.325196295976639,13.0363364888406,3.61766527838966,25.0815692095108,4.50554316834623,26.9637492340614,6.0414090226346,23.8776101760436,5.46817106705997,24.3194788827376,5.44199302284213,25.0740064925255,3.24328327875305,55.374609721434,4.69827002483895,4.24573372583836e-05,0.00044476383482106,321.186137124678,53.1592495268017,665.433398078149,1593.92817598997,2310.43266532528,189.359125657355,483.655263343734,632.290092669287,4.41334768568353,149.551759390531,0.00735276703694203,19.9178560451571,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
10,"ERA, Pl. 46 A1_clip17.wav",-284.146179199219,52.0350608825684,132.110168457031,22.396240234375,-82.4063491821289,31.6573581695557,8.27865600585938,20.9641761779785,-3.06325221061707,11.3000326156616,-36.386531829834,13.314211845398,-12.4612884521484,11.6430578231812,-22.3149070739746,8.47513198852539,-7.77385330200195,8.23598957061768,-2.17092895507812,8.05821228027344,-10.5573091506958,8.05046558380127,3.69253444671631,7.86894369125366,-4.35978317260742,8.60333061218262,1352.45199219729,228.359211922347,0.354048013687134,13.0409985074528,3.87336251081173,24.3134658475925,4.94044110877069,27.5945753595974,5.71616264315729,23.1582866494493,5.85885162537643,24.1234671853891,5.46209801596223,25.8331119856087,3.79025414649008,55.2466844295524,4.62478710437298,4.77239409519825e-05,0.00020953956118319,318.492610226719,76.5752082026446,649.61318898794,1675.21290841424,2335.76457458665,154.931426365393,558.340640348954,549.063317753534,4.24107142857143,87.3991205450301,0.0078074303348176,20.0049215794725,"eesti","originaal","eesti","ERA, Pl. 46 A1",FALSE
